REGION,PROVINCIA,DISTRITO,CENTRO,DIRECCION
CALLAO,CALLAO,CALLAO,IEP SAN AGUSTIN DE LOS SAIRES,MZ N LOTE 1517 SEGUNDA ETAPA URBANIZACION LOS SAIRES DE OQUENDO
CALLAO,CALLAO,CALLAO,COMPLEJO DEPORTIVO MUNICIPAL DANIEL CARPIO,JR PICHINCHA SN
CALLAO,CALLAO,CALLAO,COMPLEJO DEPORTIVO RAMON CASTILLA,JR TALARA SN
CALLAO,CALLAO,CALLAO,ESTADIO PREVI,CALLE LAS MORAS SN
CALLAO,CALLAO,CALLAO,LOSA DEPORTIVA BOLOGNESI,CALLE FRANCISCO BOLOGNESI SN
CALLAO,CALLAO,CALLAO,LOSA DEPORTIVA CIUDADELA CHALACA,JR AGUSTIN SN
CALLAO,CALLAO,CALLAO,LOSA DEPORTIVA FRATERNIDAD PARQUE LA FRATERNIDAD AAHH SARITA COLONIA,
CALLAO,CALLAO,CALLAO,LOSA DEPORTIVA SARITA COLONIA,CALLE SARITA COLONIA SN
CALLAO,CALLAO,CALLAO,LOSA DEPORTIVA TIWINSA,AV CENTENARIO SN
CALLAO,CALLAO,CALLAO,PARQUE DE LA JUVENTUD-LOSA DEPORTIVA NUMERO 3,AV BOCANEGRA SN
CALLAO,CALLAO,CALLAO,PARQUE ERLINDA VELA LOSA DEPORTIVA,MZ B SN
CALLAO,CALLAO,CALLAO,PARQUE RELUZ MILLONES LOSA DEPORTIVA,CALLE SN URBANIZACION SASQUCENTENARIO
CALLAO,CALLAO,CALLAO,CAMPO DEPORTIVO PARQUE NÂ° 2 HEROES DEL CENEPA,CALLE 2 SN
CALLAO,CALLAO,CALLAO,IEP DIEGO THOMSON,JR CAÃETE 150
CALLAO,CALLAO,CALLAO,IEP DON BOSCO,JR GARCIA CALDERON 350
CALLAO,CALLAO,CALLAO,LIGA DE FUTBOL INTERNA DE MARQUEZ,AV JOSE OLAYA SN MZ 120 121
CALLAO,CALLAO,CALLAO,IEP SIR ISAAC NEWTON PRIMARIA,MZ G LOTE 1 URB LAS 200 MILLAS
CALLAO,CALLAO,CALLAO,IEP SIR ISAAC NEWTON SECUNDARIA,MZ D LOTE 18
CALLAO,CALLAO,CALLAO,LOSA DEPORTIVA CHIMPUN CALLAO URB LOS JAZMINES TERCERA ETAPA,
CALLAO,CALLAO,CALLAO,LOSA DEPORTIVA FERNANDO BELAUNDE TERRY,CALLE LOS MENUFARES SN
CALLAO,CALLAO,CALLAO,LOSA DEPORTIVA PARQUE ALEX KOURI URB LOS JAZMINES PRIMERA ETAPA SN,
CALLAO,CALLAO,CALLAO,LOSA DEPORTIVA PARQUE ITALIA,CALLE CORONEL LEONCIO PRADO SN
CALLAO,CALLAO,CALLAO,LOSA DEPORTIVA ROMA,CALLE ELIAS AGUIRRE SN
